arc_length,pressure
0.0,2.2413
0.0017321,2.2383
0.0034641,2.2353
0.0051962,2.2323
0.0069282,2.2293
0.0086603,2.2263
0.010392,2.2233
0.012124,2.2203
0.013856,2.2173
0.015588,2.2143
0.017321,2.2113
0.019053,2.2083
0.020785,2.2053
0.022517,2.2023
0.024249,2.1993
0.025981,2.1963
0.027713,2.1933
0.029445,2.1903
0.031177,2.1873
0.032909,2.1844
0.034641,2.1814
0.036373,2.1784
0.038105,2.1754
0.039837,2.1724
0.041569,2.1694
0.043301,2.1664
0.045033,2.1634
0.046765,2.1604
0.048497,2.1574
0.050229,2.1544
0.051962,2.1514
0.053694,2.1484
0.055426,2.1454
0.057158,2.1424
0.05889,2.1394
0.060622,2.1365
0.062354,2.1335
0.064086,2.1305
0.065818,2.1275
0.06755,2.1245
0.069282,2.1215
0.071014,2.1186
0.072746,2.1156
0.074478,2.1126
0.07621,2.1096
0.077942,2.1067
0.079674,2.1037
0.081406,2.1007
0.083138,2.0978
0.08487,2.0948
0.086603,2.0918
0.088335,2.0889
0.090067,2.0859
0.091799,2.083
0.093531,2.08
0.095263,2.0771
0.096995,2.0741
0.098727,2.0712
0.10046,2.0683
0.10219,2.0653
0.10392,2.0624
0.10566,2.0595
0.10739,2.0565
0.10912,2.0536
0.11085,2.0507
0.11258,2.0478
0.11432,2.0449
0.11605,2.042
0.11778,2.0391
0.11951,2.0362
0.12124,2.0333
0.12298,2.0304
0.12471,2.0275
0.12644,2.0246
0.12817,2.0218
0.1299,2.0189
0.13164,2.016
0.13337,2.0132
0.1351,2.0103
0.13683,2.0075
0.13856,2.0046
0.1403,2.0018
0.14203,1.999
0.14376,1.9962
0.14549,1.9934
0.14722,1.9906
0.14896,1.9878
0.15069,1.985
0.15242,1.9822
0.15415,1.9794
0.15588,1.9766
0.15762,1.9739
0.15935,1.9711
0.16108,1.9684
0.16281,1.9656
0.16454,1.9629
0.16628,1.9601
0.16801,1.9574
0.16974,1.9547
0.17147,1.952
0.17321,1.9493
0.17494,1.9466
0.17667,1.944
0.1784,1.9413
0.18013,1.9387
0.18187,1.936
0.1836,1.9334
0.18533,1.9307
0.18706,1.9281
0.18879,1.9255
0.19053,1.9229
0.19226,1.9203
0.19399,1.9177
0.19572,1.9152
0.19745,1.9126
0.19919,1.9101
0.20092,1.9075
0.20265,1.905
0.20438,1.9025
0.20611,1.9
0.20785,1.8975
0.20958,1.895
0.21131,1.8926
0.21304,1.8901
0.21477,1.8876
0.21651,1.8852
0.21824,1.8828
0.21997,1.8804
0.2217,1.878
0.22343,1.8756
0.22517,1.8732
0.2269,1.8708
