arc_length,pressure
0.0,-3.2867e-14
1.7443,0.39794
3.4886,0.79605
5.2328,1.1943
6.9771,1.5927
8.7214,1.9913
10.466,2.39
12.21,2.7889
13.954,3.1879
15.698,3.5871
17.443,3.9865
19.187,4.3863
20.931,4.7871
22.676,5.1882
24.42,5.5896
26.164,5.9914
27.908,6.3935
29.653,6.7959
31.397,7.1975
33.141,7.5979
34.886,7.9987
36.63,8.3999
38.374,8.8025
40.118,9.2063
41.863,9.6108
43.607,10.016
45.351,10.422
47.095,10.83
48.84,11.238
50.584,11.647
52.328,12.057
54.073,12.467
55.817,12.879
57.561,13.293
59.305,13.708
61.05,14.125
62.794,14.537
64.538,14.95
66.282,15.363
68.027,15.777
69.771,16.192
71.515,16.608
73.26,17.025
75.004,17.443
76.748,17.865
78.492,18.288
80.237,18.713
81.981,19.138
83.725,19.564
85.47,19.992
87.214,20.42
88.958,20.849
90.702,21.282
92.447,21.714
94.191,22.144
95.935,22.578
97.679,23.014
99.424,23.451
101.17,23.889
102.91,24.328
104.66,24.768
106.4,25.21
108.15,25.652
109.89,26.096
111.63,26.541
113.38,26.993
115.12,27.447
116.87,27.904
118.61,28.361
120.36,28.82
122.1,29.281
123.84,29.733
125.59,30.184
127.33,30.636
129.08,31.089
130.82,31.544
132.57,32.009
134.31,32.476
136.05,32.949
137.8,33.424
139.54,33.9
141.29,34.378
143.03,34.858
144.77,35.338
146.52,35.82
148.26,36.304
150.01,36.792
151.75,37.29
153.5,37.786
155.24,38.271
156.98,38.758
158.73,39.246
160.47,39.736
162.22,40.226
163.96,40.718
165.71,41.212
167.45,41.707
169.19,42.211
170.94,42.722
172.68,43.236
174.43,43.75
176.17,44.266
177.92,44.783
179.66,45.305
181.4,45.833
183.15,46.362
184.89,46.877
186.64,47.389
188.38,47.916
190.13,48.447
191.87,48.979
193.61,49.513
195.36,50.047
197.1,50.582
198.85,51.119
200.59,51.657
202.34,52.196
204.08,52.735
205.82,53.279
207.57,53.842
209.31,54.405
211.06,54.97
212.8,55.535
214.55,56.097
216.29,56.641
218.03,57.186
219.78,57.731
221.52,58.276
223.27,58.823
225.01,59.386
226.76,59.965
228.5,60.543
230.24,61.123
231.99,61.703
233.73,62.283
235.48,62.864
237.22,63.445
238.97,64.026
240.71,64.608
242.45,65.19
244.2,65.791
245.94,66.382
247.69,66.964
249.43,67.546
251.18,68.127
252.92,68.708
254.66,69.288
256.41,69.869
258.15,70.449
259.9,71.029
261.64,71.608
263.39,72.214
265.13,72.82
266.87,73.425
268.62,74.03
270.36,74.641
272.11,75.251
273.85,75.861
275.6,76.466
277.34,77.047
279.08,77.627
280.83,78.214
282.57,78.819
284.32,79.422
286.06,80.023
287.81,80.624
289.55,81.222
291.29,81.819
293.04,82.415
294.78,83.009
296.53,83.601
298.27,84.192
300.02,84.797
301.76,85.41
303.5,86.022
305.25,86.631
306.99,87.224
308.74,87.805
310.48,88.384
312.23,88.961
313.97,89.539
315.71,90.118
317.46,90.694
319.2,91.288
320.95,91.883
322.69,92.476
324.44,93.065
326.18,93.652
327.92,94.236
329.67,94.817
331.41,95.395
333.16,95.971
334.9,96.543
336.65,97.115
338.39,97.683
340.13,98.248
341.88,98.81
343.62,99.368
345.37,99.924
347.11,100.48
348.86,101.02
350.6,101.57
352.34,102.11
354.09,102.65
355.83,103.19
357.58,103.74
359.32,104.29
361.07,104.84
362.81,105.38
364.55,105.92
366.3,106.45
368.04,106.97
369.79,107.48
371.53,107.99
373.28,108.49
375.02,109.0
376.76,109.51
378.51,110.02
380.25,110.52
382.0,111.02
383.74,111.51
385.49,112.0
387.23,112.48
388.97,112.97
390.72,113.44
392.46,113.92
394.21,114.39
395.95,114.86
397.7,115.33
399.44,115.76
401.18,116.18
402.93,116.6
404.67,117.02
406.42,117.44
408.16,117.85
409.9,118.26
411.65,118.66
413.39,119.08
415.14,119.48
416.88,119.89
418.63,120.29
420.37,120.69
422.11,121.08
423.86,121.47
425.6,121.86
427.35,122.25
429.09,122.62
430.84,122.98
432.58,123.36
434.32,123.73
436.07,124.1
437.81,124.47
439.56,124.84
441.3,125.2
443.05,125.57
444.79,125.93
446.53,126.29
448.28,126.65
450.02,127.06
451.77,127.51
453.51,127.96
455.26,128.42
457.0,128.89
458.74,129.36
460.49,129.76
462.23,130.13
463.98,130.48
465.72,130.82
467.47,131.14
469.21,131.31
470.95,131.47
472.7,131.63
474.44,131.81
476.19,132.0
477.93,132.19
479.68,132.4
481.42,132.61
483.16,132.84
484.91,133.07
486.65,133.31
488.4,133.51
490.14,133.7
491.89,133.88
493.63,134.05
495.37,134.24
497.12,134.42
498.86,134.61
500.61,134.8
502.35,134.99
504.1,135.18
505.84,135.38
507.58,135.58
509.33,135.78
511.07,135.97
512.82,136.17
514.56,136.37
516.31,136.57
518.05,136.76
519.79,136.96
521.54,137.15
523.28,137.35
525.03,137.54
526.77,137.73
528.52,137.93
530.26,138.12
532.0,138.31
533.75,138.5
535.49,138.69
537.24,138.88
538.98,139.07
540.73,139.26
542.47,139.45
544.21,139.63
545.96,139.82
547.7,140.01
549.45,140.2
551.19,140.38
552.94,140.56
554.68,140.74
556.42,140.93
558.17,141.11
559.91,141.28
561.66,141.46
563.4,141.65
565.15,141.84
566.89,142.03
568.63,142.22
570.38,142.4
572.12,142.59
573.87,142.77
575.61,142.95
577.36,143.13
579.1,143.31
580.84,143.5
582.59,143.69
584.33,143.88
586.08,144.08
587.82,144.27
589.57,144.46
591.31,144.65
593.05,144.83
594.8,145.02
596.54,145.21
598.29,145.39
600.03,145.58
601.78,145.77
603.52,145.96
605.26,146.15
607.01,146.33
608.75,146.52
610.5,146.71
612.24,146.89
613.99,147.07
615.73,147.24
617.47,147.42
619.22,147.6
620.96,147.79
622.71,147.98
624.45,148.17
626.2,148.36
627.94,148.55
629.68,148.74
631.43,148.93
633.17,149.11
634.92,149.3
636.66,149.49
638.41,149.7
640.15,149.92
641.89,150.13
643.64,150.35
645.38,150.56
647.13,150.77
648.87,150.98
650.62,151.19
652.36,151.4
654.1,151.61
655.85,151.83
657.59,152.06
659.34,152.28
661.08,152.5
662.83,152.72
664.57,152.93
666.31,153.14
668.06,153.34
669.8,153.54
671.55,153.74
673.29,153.94
675.03,154.18
676.78,154.48
678.52,154.79
680.27,155.11
682.01,155.44
683.76,155.77
685.5,156.11
687.24,156.46
688.99,156.81
690.73,157.15
692.48,157.5
694.22,157.81
695.97,158.09
697.71,158.38
699.45,158.67
701.2,158.96
702.94,159.24
704.69,159.54
706.43,159.83
708.18,160.13
709.92,160.42
711.66,160.71
713.41,160.98
715.15,161.25
716.9,161.52
718.64,161.78
720.39,162.05
722.13,162.31
723.87,162.58
725.62,162.84
727.36,163.1
729.11,163.36
730.85,163.62
732.6,163.87
734.34,164.12
736.08,164.37
737.83,164.62
739.57,164.87
741.32,165.11
743.06,165.36
744.81,165.61
746.55,165.85
748.29,166.09
750.04,166.34
751.78,166.57
753.53,166.81
755.27,167.05
757.02,167.29
758.76,167.52
760.5,167.75
762.25,167.99
763.99,168.22
765.74,168.45
767.48,168.69
769.23,168.92
770.97,169.14
772.71,169.37
774.46,169.6
776.2,169.82
777.95,170.05
779.69,170.27
781.44,170.49
783.18,170.72
784.92,170.94
786.67,171.16
788.41,171.38
790.16,171.59
791.9,171.81
793.65,172.03
795.39,172.24
797.13,172.46
798.88,172.68
800.62,172.89
802.37,173.1
804.11,173.32
805.86,173.53
807.6,173.75
809.34,173.96
811.09,174.18
812.83,174.39
814.58,174.61
816.32,174.82
818.07,175.03
819.81,175.24
821.55,175.46
823.3,175.67
825.04,175.88
826.79,176.1
828.53,176.32
830.28,176.54
832.02,176.76
833.76,176.98
835.51,177.2
837.25,177.42
839.0,177.64
840.74,177.86
842.49,178.08
844.23,178.3
845.97,178.53
847.72,178.76
849.46,178.99
851.21,179.23
852.95,179.46
854.7,179.69
856.44,179.94
858.18,180.19
859.93,180.44
861.67,180.7
863.42,180.95
865.16,181.2
866.91,181.45
868.65,181.7
870.39,181.95
872.14,182.2
873.88,182.46
875.63,182.71
877.37,182.96
879.12,183.21
880.86,183.46
882.6,183.71
884.35,183.96
886.09,184.2
887.84,184.45
889.58,184.7
891.33,184.95
893.07,185.2
894.81,185.45
896.56,185.7
898.3,185.95
900.05,186.19
901.79,186.44
903.54,186.68
905.28,186.93
907.02,187.17
908.77,187.42
910.51,187.66
912.26,187.9
914.0,188.15
915.75,188.39
917.49,188.63
919.23,188.88
920.98,189.12
922.72,189.36
924.47,189.6
926.21,189.84
927.96,190.08
929.7,190.32
931.44,190.56
933.19,190.8
934.93,191.04
936.68,191.28
938.42,191.52
940.16,191.75
941.91,191.99
943.65,192.23
945.4,192.47
947.14,192.71
948.89,192.94
950.63,193.18
952.37,193.42
954.12,193.66
955.86,193.89
957.61,194.12
959.35,194.35
961.1,194.58
962.84,194.81
964.58,195.03
966.33,195.26
968.07,195.49
969.82,195.72
971.56,195.95
973.31,196.18
975.05,196.41
976.79,196.63
978.54,196.85
980.28,197.07
982.03,197.29
983.77,197.51
985.52,197.72
987.26,197.94
989.0,198.16
990.75,198.38
992.49,198.6
994.24,198.82
995.98,199.04
997.73,199.26
999.47,199.47
1001.2,199.69
1003.0,199.91
1004.7,200.12
1006.4,200.34
1008.2,200.56
1009.9,200.78
1011.7,200.99
1013.4,201.21
1015.2,201.43
1016.9,201.64
1018.7,201.86
1020.4,202.07
1022.1,202.28
1023.9,202.5
1025.6,202.71
1027.4,202.93
1029.1,203.14
1030.9,203.35
1032.6,203.57
1034.4,203.78
1036.1,203.99
1037.8,204.2
1039.6,204.41
1041.3,204.62
1043.1,204.84
1044.8,205.05
