arc_length,pressure
0.0,2.2219
0.0017321,2.2189
0.0034641,2.2159
0.0051962,2.2129
0.0069282,2.2099
0.0086603,2.2069
0.010392,2.2039
0.012124,2.2009
0.013856,2.1979
0.015588,2.1949
0.017321,2.1919
0.019053,2.1889
0.020785,2.1859
0.022517,2.1829
0.024249,2.1799
0.025981,2.1769
0.027713,2.1739
0.029445,2.1709
0.031177,2.1679
0.032909,2.1649
0.034641,2.1619
0.036373,2.1589
0.038105,2.1559
0.039837,2.1529
0.041569,2.1499
0.043301,2.1469
0.045033,2.1439
0.046765,2.1409
0.048497,2.1379
0.050229,2.1349
0.051962,2.1319
0.053694,2.1289
0.055426,2.1259
0.057158,2.1229
0.05889,2.1199
0.060622,2.1169
0.062354,2.1139
0.064086,2.1109
0.065818,2.108
0.06755,2.105
0.069282,2.102
0.071014,2.099
0.072746,2.096
0.074478,2.0931
0.07621,2.0901
0.077942,2.0871
0.079674,2.0841
0.081406,2.0812
0.083138,2.0782
0.08487,2.0752
0.086603,2.0723
0.088335,2.0693
0.090067,2.0664
0.091799,2.0634
0.093531,2.0605
0.095263,2.0575
0.096995,2.0546
0.098727,2.0516
0.10046,2.0487
0.10219,2.0457
0.10392,2.0428
0.10566,2.0399
0.10739,2.0369
0.10912,2.034
0.11085,2.0311
0.11258,2.0281
0.11432,2.0252
0.11605,2.0223
0.11778,2.0194
0.11951,2.0165
0.12124,2.0136
0.12298,2.0107
0.12471,2.0078
0.12644,2.0049
0.12817,2.0021
0.1299,1.9992
0.13164,1.9963
0.13337,1.9935
0.1351,1.9906
0.13683,1.9878
0.13856,1.9849
0.1403,1.9821
0.14203,1.9793
0.14376,1.9765
0.14549,1.9736
0.14722,1.9708
0.14896,1.968
0.15069,1.9652
0.15242,1.9624
0.15415,1.9596
0.15588,1.9569
0.15762,1.9541
0.15935,1.9513
0.16108,1.9486
0.16281,1.9458
0.16454,1.943
0.16628,1.9403
0.16801,1.9376
0.16974,1.9348
0.17147,1.9321
0.17321,1.9294
0.17494,1.9267
0.17667,1.9241
0.1784,1.9214
0.18013,1.9187
0.18187,1.9161
0.1836,1.9135
0.18533,1.9108
0.18706,1.9082
0.18879,1.9056
0.19053,1.903
0.19226,1.9004
0.19399,1.8978
0.19572,1.8953
0.19745,1.8927
0.19919,1.8901
0.20092,1.8876
0.20265,1.8851
0.20438,1.8826
0.20611,1.8801
0.20785,1.8776
0.20958,1.8751
0.21131,1.8726
0.21304,1.8701
0.21477,1.8677
0.21651,1.8652
0.21824,1.8628
0.21997,1.8603
0.2217,1.8579
0.22343,1.8555
0.22517,1.8532
0.2269,1.8508
0.22863,1.8484
0.23036,1.8461
0.23209,1.8438
0.23383,1.8415
0.23556,1.8392
0.23729,1.8369
0.23902,1.8346
0.24076,1.8323
0.24249,1.8301
0.24422,1.8279
0.24595,1.8256
0.24768,1.8234
0.24942,1.8212
0.25115,1.819
0.25288,1.8169
0.25461,1.8147
0.25634,1.8126
0.25808,1.8104
0.25981,1.8083
0.26154,1.8062
0.26327,1.8041
0.265,1.802
0.26674,1.8
0.26847,1.7979
0.2702,1.7959
0.27193,1.7938
0.27366,1.7918
0.2754,1.7898
0.27713,1.7878
0.27886,1.7859
0.28059,1.7839
0.28232,1.782
0.28406,1.78
0.28579,1.7781
0.28752,1.7762
0.28925,1.7743
0.29098,1.7725
0.29272,1.7706
0.29445,1.7688
0.29618,1.7669
0.29791,1.7651
0.29964,1.7633
0.30138,1.7615
0.30311,1.7597
0.30484,1.7579
0.30657,1.7562
0.30831,1.7544
0.31004,1.7527
0.31177,1.751
0.3135,1.7493
0.31523,1.7476
0.31697,1.7459
0.3187,1.7442
0.32043,1.7426
0.32216,1.7409
0.32389,1.7393
