Time,concentration_block1,concentration_block2
0.0025,0.018584,8.1522e-05
0.005,0.022391,0.0002207
0.0075,0.026451,0.00041993
0.01,0.03074,0.00068122
0.0125,0.035235,0.0010063
0.015,0.039913,0.0013967
0.0175,0.044755,0.0018534
0.02,0.049739,0.002377
0.0225,0.054851,0.0029681
0.025,0.060073,0.0036267
0.0275,0.065392,0.0043528
0.03,0.070795,0.0051458
0.0325,0.076272,0.0060049
0.035,0.08181,0.0069293
0.0375,0.087403,0.0079177
0.04,0.093041,0.0089686
0.0425,0.098717,0.01008
0.045,0.10442,0.011251
0.0475,0.11016,0.012479
0.05,0.11591,0.013763
0.0525,0.12168,0.015099
0.055,0.12746,0.016484
0.0575,0.13325,0.017917
0.06,0.13904,0.019394
0.0625,0.14483,0.020912
0.065,0.15062,0.022469
0.0675,0.1564,0.02406
0.07,0.16216,0.025683
0.0725,0.16792,0.027335
0.075,0.17365,0.029013
0.0775,0.17937,0.030713
0.08,0.18506,0.032432
0.0825,0.19073,0.034167
0.085,0.19637,0.035915
0.0875,0.20197,0.037674
0.09,0.20754,0.039439
0.0925,0.21308,0.041209
0.095,0.21857,0.04298
0.0975,0.22401,0.04475
0.1,0.22941,0.046517
0.1025,0.23476,0.048277
0.105,0.24006,0.050029
0.1075,0.24531,0.051771
0.11,0.2505,0.0535
0.1125,0.25563,0.055214
0.115,0.2607,0.056913
0.1175,0.26571,0.058593
0.12,0.27066,0.060254
0.1225,0.27554,0.061894
0.125,0.28035,0.063513
0.1275,0.2851,0.065108
0.13,0.28978,0.066679
0.1325,0.29439,0.068225
0.135,0.29892,0.069745
0.1375,0.30339,0.071239
0.14,0.30779,0.072705
0.1425,0.31211,0.074144
0.145,0.31637,0.075555
0.1475,0.32055,0.076938
0.15,0.32466,0.078293
0.1525,0.32871,0.079619
0.155,0.33268,0.080916
0.1575,0.33658,0.082185
0.16,0.34041,0.083426
0.1625,0.34417,0.084638
0.165,0.34787,0.085822
0.1675,0.35149,0.086979
0.17,0.35505,0.088107
0.1725,0.35855,0.089209
0.175,0.36198,0.090284
0.1775,0.36535,0.091332
0.18,0.36866,0.092355
0.1825,0.3719,0.093352
0.185,0.37509,0.094324
0.1875,0.37821,0.095271
0.19,0.38128,0.096195
0.1925,0.38429,0.097095
0.195,0.38725,0.097972
0.1975,0.39016,0.098826
0.2,0.39301,0.099658
0.2025,0.39581,0.10047
0.205,0.39856,0.10126
0.2075,0.40126,0.10203
0.21,0.40391,0.10278
0.2125,0.40652,0.10351
0.215,0.40908,0.10422
0.2175,0.4116,0.10492
0.22,0.41407,0.10559
0.2225,0.41651,0.10625
0.225,0.4189,0.1069
0.2275,0.42125,0.10752
0.23,0.42356,0.10813
0.2325,0.42584,0.10873
0.235,0.42808,0.10931
0.2375,0.43028,0.10988
0.24,0.43245,0.11043
0.2425,0.43458,0.11097
0.245,0.43668,0.1115
0.2475,0.43875,0.11201
0.25,0.44079,0.11251
