Time,concentration_block1,concentration_block10,concentration_block11
0.0025,0.018362,2.1516e-10,1.1795e-11
0.005,0.02183,5.2445e-09,3.3518e-10
0.0075,0.025426,3.405e-08,3.63e-09
0.01,0.029119,1.3031e-07,1.7975e-08
0.0125,0.032879,3.7274e-07,6.1827e-08
0.015,0.036677,8.8303e-07,1.6874e-07
0.0175,0.040489,1.8323e-06,3.9306e-07
0.02,0.04429,3.4448e-06,8.1516e-07
0.0225,0.048062,5.9995e-06,1.5464e-06
0.025,0.051786,9.8287e-06,2.7329e-06
0.0275,0.055447,1.5315e-05,4.5576e-06
0.03,0.059031,2.2885e-05,7.2418e-06
0.0325,0.062526,3.3005e-05,1.1046e-05
0.035,0.065924,4.6166e-05,1.6267e-05
0.0375,0.069216,6.2883e-05,2.3233e-05
0.04,0.072397,8.3676e-05,3.2302e-05
0.0425,0.075462,0.00010907,4.3859e-05
0.045,0.078406,0.00013956,5.8301e-05
0.0475,0.081229,0.00017566,7.6039e-05
0.05,0.08393,0.0002178,9.7486e-05
0.0525,0.086506,0.0002664,0.00012305
0.055,0.088961,0.00032185,0.00015312
0.0575,0.091294,0.00038444,0.0001881
0.06,0.093507,0.00045447,0.00022832
0.0625,0.095604,0.00053214,0.0002741
0.065,0.097587,0.00061759,0.00032573
0.0675,0.099459,0.00071092,0.00038346
0.07,0.10122,0.00081213,0.00044748
0.0725,0.10289,0.00092121,0.00051794
0.075,0.10445,0.0010381,0.00059496
0.0775,0.10591,0.0011625,0.0006786
0.08,0.10729,0.0012944,0.00076887
0.0825,0.10858,0.0014336,0.00086574
0.085,0.10978,0.0015796,0.00096912
0.0875,0.11091,0.0017323,0.0010789
0.09,0.11196,0.0018912,0.0011949
0.0925,0.11294,0.0020562,0.001317
0.095,0.11385,0.0022266,0.001445
0.0975,0.1147,0.0024022,0.0015785
0.1,0.11549,0.0025824,0.0017173
0.1025,0.11623,0.0027669,0.0018611
0.105,0.11691,0.0029551,0.0020096
0.1075,0.11754,0.0031468,0.0021624
0.11,0.11813,0.0033414,0.0023193
0.1125,0.11867,0.0035384,0.0024798
0.115,0.11917,0.0037375,0.0026436
0.1175,0.11964,0.0039382,0.0028104
0.12,0.12007,0.0041401,0.0029796
0.1225,0.12047,0.0043427,0.003151
0.125,0.12083,0.0045458,0.0033242
0.1275,0.12117,0.0047489,0.0034989
0.13,0.12148,0.0049517,0.0036747
0.1325,0.12177,0.0051539,0.0038514
0.135,0.12204,0.0053551,0.0040286
0.1375,0.12228,0.0055552,0.004206
0.14,0.12251,0.0057537,0.0043833
0.1425,0.12271,0.0059505,0.0045602
0.145,0.1229,0.0061453,0.0047366
0.1475,0.12308,0.0063379,0.004912
0.15,0.12324,0.0065281,0.0050864
0.1525,0.12339,0.0067158,0.0052594
0.155,0.12352,0.0069008,0.005431
0.1575,0.12365,0.007083,0.0056009
0.16,0.12376,0.0072623,0.0057689
0.1625,0.12386,0.0074386,0.0059349
0.165,0.12396,0.0076117,0.0060989
0.1675,0.12405,0.0077817,0.0062605
0.17,0.12413,0.0079483,0.0064199
0.1725,0.1242,0.0081117,0.0065768
0.175,0.12427,0.0082717,0.0067312
0.1775,0.12433,0.0084283,0.006883
0.18,0.12439,0.0085816,0.0070322
0.1825,0.12444,0.0087315,0.0071787
0.185,0.12449,0.0088781,0.0073225
0.1875,0.12453,0.0090213,0.0074636
0.19,0.12457,0.0091612,0.007602
0.1925,0.12461,0.0092979,0.0077376
0.195,0.12464,0.0094313,0.0078705
0.1975,0.12467,0.0095614,0.0080006
0.2,0.1247,0.0096884,0.008128
0.2025,0.12472,0.0098123,0.0082527
0.205,0.12475,0.0099331,0.0083747
0.2075,0.12477,0.010051,0.0084941
0.21,0.12479,0.010166,0.0086109
0.2125,0.12481,0.010278,0.0087251
0.215,0.12482,0.010387,0.008837
0.2175,0.12484,0.010493,0.0089463
0.22,0.12485,0.010597,0.0090532
0.2225,0.12486,0.010697,0.0091577
0.225,0.12487,0.010796,0.0092599
0.2275,0.12488,0.010891,0.0093596
0.23,0.12489,0.010985,0.0094571
0.2325,0.1249,0.011075,0.0095524
0.235,0.12491,0.011164,0.0096455
0.2375,0.12492,0.01125,0.0097364
0.24,0.12493,0.011334,0.0098252
0.2425,0.12493,0.011415,0.009912
0.245,0.12494,0.011495,0.0099968
0.2475,0.12494,0.011573,0.01008
0.25,0.12495,0.011648,0.010161
