Time,avg(concentration),concentration_block2,concentration_block3,concentration_block4,concentration_block5,concentration_block6,concentration_block7,concentration_block8
0.01,0.010823,0.009722,0.0013712,0.00039902,5.3245e-06,5.8783e-06,6.1352e-06,6.562e-06
0.02,0.033597,0.022417,0.0057405,0.0017406,3.5517e-05,3.8592e-05,3.9561e-05,4.1975e-05
0.03,0.066283,0.035134,0.014166,0.0044788,0.00012976,0.00013913,0.00014041,0.00014799
0.04,0.10664,0.046848,0.027045,0.0089117,0.0003447,0.00036553,0.00036394,0.00038149
0.05,0.15287,0.057339,0.044311,0.015199,0.00074605,0.00078389,0.00077144,0.00080504
0.06,0.20357,0.066682,0.065639,0.023399,0.001398,0.0014578,0.0014204,0.0014769
0.07,0.2575,0.075037,0.090564,0.033494,0.0023544,0.0024394,0.0023571,0.0024435
0.08,0.31352,0.082559,0.11855,0.04541,0.0036525,0.0037646,0.0036119,0.0037354
0.09,0.37054,0.089379,0.14903,0.059026,0.0053112,0.0054504,0.005199,0.0053659
0.1,0.42756,0.095595,0.18142,0.074185,0.0073314,0.0074961,0.0071164,0.0073324
0.11,0.48373,0.10128,0.21512,0.0907,0.0096975,0.0098849,0.0093486,0.0096184
0.12,0.53832,0.1065,0.2496,0.10837,0.012381,0.012588,0.011869,0.012196
0.13,0.59079,0.1113,0.28434,0.12698,0.015342,0.015565,0.014643,0.015029
0.14,0.64075,0.11573,0.31889,0.14632,0.018537,0.01877,0.01763,0.018075
0.15,0.68795,0.11982,0.35286,0.16619,0.021915,0.022156,0.020787,0.02129
0.16,0.73228,0.12361,0.38595,0.18639,0.025426,0.02567,0.024069,0.024627
0.17,0.77369,0.12714,0.41791,0.20676,0.02902,0.029264,0.027433,0.028043
0.18,0.81225,0.13043,0.44857,0.22714,0.032651,0.032892,0.030838,0.031495
0.19,0.84806,0.13351,0.4778,0.24741,0.036277,0.036512,0.034247,0.034945
0.2,0.88125,0.1364,0.50554,0.26744,0.03986,0.040087,0.037627,0.03836
0.21,0.91198,0.13914,0.53176,0.28715,0.043368,0.043586,0.04095,0.04171
0.22,0.94042,0.14172,0.55646,0.30647,0.046777,0.046984,0.044193,0.044974
0.23,0.96675,0.14418,0.57968,0.32533,0.050065,0.050262,0.047335,0.048131
0.24,0.99115,0.14652,0.60147,0.34369,0.053218,0.053404,0.050365,0.051169
0.25,1.0138,0.14876,0.62188,0.36153,0.056227,0.056401,0.053271,0.054077
0.26,1.0348,0.1509,0.64099,0.37882,0.059084,0.059247,0.056046,0.056849
0.27,1.0543,0.15296,0.65888,0.39555,0.061787,0.06194,0.058688,0.059482
0.28,1.0725,0.15495,0.67562,0.41171,0.064338,0.06448,0.061194,0.061975
0.29,1.0895,0.15686,0.69129,0.42732,0.066738,0.066871,0.063567,0.064331
0.3,1.1054,0.1587,0.70598,0.44238,0.068993,0.069117,0.065809,0.066553
0.31,1.1203,0.16048,0.71975,0.45689,0.071107,0.071223,0.067923,0.068645
0.32,1.1343,0.1622,0.73267,0.47087,0.073089,0.073197,0.069916,0.070612
