Class;MPI rank;Total time spent (s);Count;Allocations;Mean time (s)
Assemble<LaplaceOperator>::apply;0;0.102241;2;0;0.0511206
Assemble<LaplaceOperator>::assemble;0;0.0948623;2;0;0.0474311
ConvertTensor::apply | allocate crs;0;0.000761499;3;0;0.000253833
ConvertTensor::apply | fill crs;0;0.00220221;3;0;0.00073407
DofMap::init_aura;0;0.022696;2;0;0.011348
FETransfer::init;0;0.0799105;1;0;0.0799105
FETransferPrepareData::apply;0;0.00565175;1;0;0.00565175
ForcingFunction::assemble;0;1.1e-05;1;0;1.1e-05
GlobalToLocal(Stk,Intrepid2);0;0.00220925;2;0;0.00110463
KSPSolver::Impl::smooth(mat);0;5.25e-06;1;0;5.25e-06
KSPSolver::apply;0;42.3988;1;0;42.3988
KSPSolver::update;0;6.1416e-05;1;0;6.1416e-05
Linear solve;0;42.3989;1;0;42.3989
LocalToGlobal(Stk,Intrepid2);0;0.0151352;2;0;0.00756762
LocalToGlobal(Stk,Intrepid2,Matrix assembly);0;0.0151252;2;0;0.00756262
LocalToGlobal(Stk,Intrepid2,Matrix handling);0;3.625e-06;2;0;1.8125e-06
LocalToGlobalFromBuckets(Stk,Intrepid2);0;0.000709126;3;0;0.000236375
PetscEvalTripleMatrixProduct::ptap;0;0.131193;1;0;0.131193
PetscMatrix::axpy;0;0.0235565;1;0;0.0235565
PetscMatrix::write_unlock(...);0;0.00788692;5;0;0.00157738
main;0;43.2293;1;0;43.2293
