Class;MPI rank;Total time spent (s);Count;Allocations;Mean time (s)
Assemble<Mass>::assemble;0;0.0783419;2;0;0.0391709
Assemble<Transport>::apply;0;0.027291;2;0;0.0136455
Assemble<Transport>::assemble;0;0.0265404;2;0;0.0132702
ConvertTensor::apply | allocate crs;0;0.00105017;3;0;0.000350056
ConvertTensor::apply | fill crs;0;0.00313958;3;0;0.00104653
DofMap::init_aura;0;0.0304203;2;0;0.0152101
FETransfer::init;0;0.0867341;1;0;0.0867341
FETransferPrepareData::apply;0;0.00841887;1;0;0.00841887
GlobalToLocal(Stk,Intrepid2);0;0.016098;4;0;0.0040245
KSPSolver::Impl::smooth(mat);0;4.2958e-05;100;0;4.2958e-07
KSPSolver::apply;0;11.9979;100;0;0.119979
KSPSolver::update;0;0.0553692;100;0;0.000553692
LocalToGlobal(Stk,Intrepid2);0;0.0675399;4;0;0.016885
LocalToGlobal(Stk,Intrepid2,Matrix assembly);0;0.0675072;4;0;0.0168768
LocalToGlobal(Stk,Intrepid2,Matrix handling);0;9.582e-06;4;0;2.3955e-06
LocalToGlobalFromBuckets(Stk,Intrepid2);0;0.00339117;2;0;0.00169558
Newton::solve;0;17.1701;100;0;0.171701
PetscEvalTripleMatrixProduct::ptap;0;0.39966;2;0;0.19983
PetscMatrix::axpy;0;3.60687;104;0;0.0346814
PetscMatrix::write_unlock(...);0;0.0429623;7;0;0.00613746
StabilizeTransport::apply_to_matrices;0;0.264637;1;0;0.264637
StabilizeTransport::post_process;0;2.34014;100;0;0.0234014
main;0;20.9084;1;0;20.9084
