Class;MPI rank;Total time spent (s);Count;Allocations;Mean time (s)
Assemble<Mass>::assemble;0;0.0263326;2;0;0.0131663
Assemble<Transport>::apply;0;0.00674871;2;0;0.00337435
Assemble<Transport>::assemble;0;0.00674271;2;0;0.00337135
ConvertTensor::apply | allocate crs;0;0.000523249;3;0;0.000174416
ConvertTensor::apply | fill crs;0;0.00220546;3;0;0.000735153
DofMap::init_aura;0;0.00965183;2;0;0.00482592
FETransfer::init;0;0.044014;1;0;0.044014
FETransferPrepareData::apply;0;0.00578863;1;0;0.00578863
GlobalToLocal(Stk,Intrepid2);0;0.0113845;4;0;0.00284611
KSPSolver::Impl::smooth(mat);0;4.4452e-05;100;0;4.4452e-07
KSPSolver::apply;0;4.11986;100;0;0.0411986
KSPSolver::update;0;0.0322815;100;0;0.000322815
LocalToGlobal(Stk,Intrepid2);0;0.0261233;4;0;0.00653083
LocalToGlobal(Stk,Intrepid2,Matrix assembly);0;0.0261001;4;0;0.00652503
LocalToGlobal(Stk,Intrepid2,Matrix handling);0;7.583e-06;4;0;1.89575e-06
LocalToGlobalFromBuckets(Stk,Intrepid2);0;0.0006625;2;0;0.00033125
Newton::solve;0;6.27855;100;0;0.0627855
PetscEvalTripleMatrixProduct::ptap;0;0.106107;2;0;0.0530533
PetscMatrix::axpy;0;1.51313;104;0;0.0145494
PetscMatrix::write_unlock(...);0;0.0207182;7;0;0.00295974
StabilizeTransport::apply_to_matrices;0;0.0796504;1;0;0.0796504
StabilizeTransport::post_process;0;1.02546;100;0;0.0102546
main;0;7.86396;1;0;7.86396
